\bALL?E?(Y|E)\b.?	Alley
`(\&|\/`)	 and 
\bANN?E?X\b.?	Annex
\bARCA?D?E?\b.?	Arcade
\bAVE?N?U?E?\b.?	Avenue
\bBA?YO?`(O|U`)\b.?	Bayoo
\bBE?A?CH\b.?	Beach
\bB`(EN|E?ND`)\b	Bend
\bBLU?FF?\b	Bluff
\bBLU?FF?S\b	Bluffs
\bB`(OT|O?TT?O?M`)	Bottom
\bB`(L|O?U?LE?VA?R?D`)\b	Boulevard
\bB`(R|A?NCH`)\b	Branch
\bBRI?D?GE?\b	Bridge
\bB`(R|RO?O?K`)\b	Brook
\bB`(R|RO?O?K`)S\b	Brooks
\bBU?R?G\b	Burg
\bBU?R?GS\b	Burgs
\bBYP`(|A?S?S?`)	Bypass
\bCA?M?P\b	Camp
\bCA?N?YO?N\b	Canyon
\bCA?PE\b	Cape
\bCA?U?SWA?Y\b	Causeway
\bCE?N?TE?R\b	Center
\bCE?N?TE?RS\b	Centers
\bC`(IR\b|I?RCL?E?\b|I\s*$`)	Circle
\bC`(IR|I?RCL?E?`)S\b	Circles
\bCLI?FF?\b	Cliff
\bCLI?FF?S\b	Cliffs
\bCLU?B\b	Club
\bCO?MM?O?N\b	Common
\bCO?MM?O?NS\b	Commons
\bC`(OR|O?RNE?R`)\b	Corner
\bC`(OR|O?RNE?R`)S\b	Corners
\bCO?U?RSE\b	Course
\bC`(O?U?R`)?T\b	Court
\bCO?U?RTS\b	Courts
\bCO?VE?\b	Cove
\bCO?VE?S\b	Coves
\bC`(R|K|RE?E?K)\b	Creek
\bCR`(|E?S`(|C?E?NT`)`)\b	Crescent
\bCRE?ST\b	Crest
\b`(X|CRO?SS`)ING\b	Crossing
\b`(X|CRO?SS`)RO?A?D\b	Crossroad
\bCURVE?\b	Curve
\bDA?LE?\b	Dale
\bDA?M\b	Dam
\bDI?V`(|I?DE?`)\b	Divide
\bDRI?VE?\b	Drive
\bDRI?V?E?S\b	Drives
\bent`(|ra?nce?`)\s{1,}ra?mp\b	Entrance Ramp
\bEST`(|A?TE?`)\b	Estate
\bEST`(|A?TE?`)S\b	Estates
