id	updated_at	exported_at	created_at	license_numer	owner_name	business_name	business_num	street	city	zip	cancel	date_entry	business_type
1	2013-03-05 17:20:33	0000-00-00 00:00:00	2013-03-05	31388972	Ron L. Anderson	High on Health	210	TUSCARORA DR	LOVELAND	45140	No	2013-01-02	Other Health/Personal Care Stores
2	2013-03-05 17:20:33	0000-00-00 00:00:00	2013-03-05	31388973	SULTON ALHASISE	HARRISON TINT WINDOWS	2026	HARRISON AVE	CINCINNATI	45214	No	2013-01-03	Auto Body/Paint/Interior/Glass Repair
3	2013-03-05 17:20:33	0000-00-00 00:00:00	2013-03-05	31388974	DELFINO DESOUZA	ANIS INDIAN CUISINE LLC	4122	HUNT RD	BLUE ASH	45236	No	2013-01-03	Full-Service Restaurants/Cafeterias
4	2013-03-05 17:20:33	0000-00-00 00:00:00	2013-03-05	31388975	B & D Company Inc	White Oak Deli & Convenience Store	6035	CHEVIOT RD	CINCINNATI	45247	No	2013-01-04	Convenience Stores
5	2013-03-05 17:20:33	0000-00-00 00:00:00	2013-03-05	31388976	Bamowry, LLC	Bulldog Enterprises	322	BANK AVE	ST BERNARD	45212	No	2013-01-04	Other Clothing Stores
6	2013-03-05 17:20:33	0000-00-00 00:00:00	2013-03-05	31388977	CMS FLOORING	N/A	4173	HAMILTON AVE	CINCINNATI	45223	No	2013-01-04	Other Specialty Trade Contractors
7	2013-03-06 22:48:31	2013-03-07 15:22:48	2013-03-05	31388978	Vickie M. Arrequin	Vickie's Flea Market	4020	HAMILTON AVE	CINCINNATI	45220	No	2013-01-07	Other General Merchandise Stores
8	2013-03-06 22:25:17	2013-03-07 15:22:50	2013-03-05	31388979	Nicole Billups	Timeless Treasures	6227	MADISON RD	CINCINNATI	45227	No	2013-01-08	Other General Merchandise Stores
9	2013-03-06 22:25:12	2013-03-07 15:22:51	2013-03-05	31388980	Budget Truck Rental LLC	Same	4721	MADISON RD	CINCINNATI	45227	No	2013-01-08	Auto/Truck/RV Equipment Rental/Leasing
10	2013-03-06 22:25:04	2013-03-07 15:22:52	2013-03-05	31388981	Budget Truck Rental LLC	Same	4900	FRANKLIN AVE	CINCINNATI	45212	No	2013-01-08	Auto/Truck/RV Equipment Rental/Leasing
