id	updated_at	exported_at	created_at	permit_id	name	address	city	state	zip	last_inspection_date	inspection_type	score	grade	mayor_violations
1	2013-04-04 18:32:32	0000-00-00 00:00:00	2013-04-04	211898533308	ALPANCHOS MEXICAN RESTAURANT	2139 ALPINE BLVD	ALPINE	CA	91901	2013-01-24	Reinspection	Directed		No major violations observed
2	2013-04-04 18:32:32	0000-00-00 00:00:00	2013-04-04	211898968132	ALPINE BEER COMPANY	2363 ALPINE BLVD	ALPINE	CA	91901	2012-08-07	Routine	98	A	No major violations observed
3	2013-04-04 18:32:32	0000-00-00 00:00:00	2013-04-04	211899091123	ALBERTSONS #6704	2955 ALPINE BLVD	ALPINE	CA	91901	2012-09-21	Routine	99		No major violations observed
4	2013-04-04 18:32:35	2013-04-11 18:10:39	2013-04-04	211898704587	AHI SUSHI & GRILL	1347 TAVERN RD	ALPINE	CA	91901	2013-02-25	Routine	90	A	No major violations observed
5	2013-04-04 18:32:47	0000-00-00 00:00:00	2013-04-04	211898917251	ALPINE INN WINE & SPIRITS	2223 ALPINE BLVD	ALPINE	CA	91901	2012-12-07	Reinspection	Directed		No major violations observed
6	2013-04-04 18:32:52	0000-00-00 00:00:00	2013-04-04	211898554467	ALPINE FITNESS	1620 ALPINE BLVD	ALPINE	CA	91901	2013-01-24	Routine	99	A	No major violations observed
7	2013-04-04 18:33:00	0000-00-00 00:00:00	2013-04-04	211898211486	ALPINE LIQUOR	2262 ALPINE BLVD	ALPINE	CA	91901	2012-12-11	Reinspection	Directed		No major violations observed
8	2013-04-04 18:33:00	0000-00-00 00:00:00	2013-04-04	211898212443	ALPINE COMMUNITY CENTER	1834 ALPINE BLVD	ALPINE	CA	91901	2012-07-31	Routine	98	A	No major violations observed
9	2013-04-04 18:33:01	0000-00-00 00:00:00	2013-04-04	211898968683	ALPINE FRONTIER LIQUOR & DELI	1730 ALPINE BLVD	ALPINE	CA	91901	2013-02-01	Routine	94	A	No major violations observed
10	2013-04-04 18:33:04	0000-00-00 00:00:00	2013-04-04	211899389252	ALPINE ELEMENTARY SCHOOL	1850 ALPINE BLVD	ALPINE	CA	91901	2012-09-21	Routine	100		No major violations observed
